"BM30 ";"C";"3"
"BTM  ";"C";"222"
"BTM2 ";"C";"398"
"SAM2 ";"C";"268"
"TBM2 ";"C";"188"
"TJ34 ";"C";"188"
"U31  ";"C";"105"
"BL13 ";"C";"316"
"HG10 ";"C";"13"
"W3   ";"C";"76"
"BJ65 ";"C";"498"
"CK19 ";"C";"42"
"CK4  ";"C";"400"
"CK42 ";"C";"250"
"CK7  ";"C";"143"
"TW1  ";"C";"41"
"TW2  ";"C";"157"
"TW3  ";"C";"198"
"BL18M";"C";"217"
"BMVM ";"C";"284"
"HE3  ";"C";"0"
"TB2  ";"C";"11"
"JKM  ";"C";"206"
"JKS  ";"C";"5"
"SPM  ";"C";"612"
"FR2C ";"C";"86"
"GM1A ";"C";"199"
"AR5M ";"C";"134"
"AR9  ";"C";"21"
"C5   ";"C";"267"
"C9   ";"C";"211"
"U46  ";"C";"64"
"U15  ";"C";"333"
"U3   ";"C";"69"
"U32  ";"C";"77"
"U38  ";"C";"45"
"U10  ";"C";"116"
"HE8  ";"C";"38"
"U17  ";"C";"0"
"U4   ";"C";"183"
"U1   ";"C";"271"
"TGML ";"C";"2"
"BL18 ";"C";"368"
"J61  ";"C";"417"
"J73  ";"C";"341"
"J74  ";"C";"229"
"U39  ";"C";"98"
"U40  ";"C";"127"
"U41  ";"C";"0"
"C3M  ";"C";"376"
"C4M  ";"C";"242"
"J70  ";"C";"99"
"J75M ";"C";"302"
"JM15 ";"C";"347"
"JM18 ";"C";"478"
"KTM5 ";"C";"248"
"KTM6 ";"C";"240"
"BP2  ";"C";"210"
"BBM3 ";"C";"959"
"BBM5 ";"C";"935"
"U33  ";"C";"206"
"U34  ";"C";"158"
"J84M ";"C";"482"
"J85M ";"C";"237"
"Q84  ";"C";"116"
"Q87  ";"C";"362"
"Q89  ";"C";"347"
"BM5  ";"C";"18"
"TB1  ";"C";"8"
"TB3  ";"C";"41"
"TB9  ";"C";"21"
"TBC3 ";"C";"38"
"U43  ";"C";"147"
"U43Z ";"C";"223"
"W21  ";"C";"283"
"W24  ";"C";"468"
"M25  ";"C";"222"
"M3   ";"C";"106"
"M4   ";"C";"0"
"MM1  ";"C";"98"
"MM2  ";"C";"179"
"MM4  ";"C";"281"
"UA2  ";"C";"0"
"UA3  ";"C";"130"
"UA5  ";"C";"148"
"UAM1 ";"C";"136"
"JM31 ";"C";"27"
"BBM9 ";"C";"800"
"C21M ";"C";"299"
"U13  ";"C";"420"
"C13M ";"C";"351"
"C12  ";"C";"179"
"C14M ";"C";"135"
"C10  ";"C";"298"
