"CAR PARK NO   ";"BLOCK NO                                ";"STREET NAME                             ";"X COORD   ";"Y COORD   ";"CAR PARK TYPE                                               ";"TYPE OF PARKING SYSTEM                                      ";"SHORT TERM PARKING                                          ";"FREE PARKING                                                ";"NIGHT PARKING                                               ";"PARK & RIDE SCHEME,,,,,"
"A20  ";"BLK 304/307/319                         ";"ANG MO KIO ST 31                        ";"29560.3869";"38550.5855";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A21  ";"BLK 325/326/301                         ";"ANG MO KIO STREET 31                    ";"29446.1477";"38906.1139";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"7AM-10.30PM                                                 ";"SUN & PH FR 7AM-10.30PM                                     ";"NO                                                          ";"NO,,,,,"
"A23  ";"BLK 347A                                ";"ANG MO KIO AVENUE 3                     ";"29729.5500";"38818.1800";"MULTI-STOREY CAR PARK                                       ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A24  ";"BLK 338/340                             ";"ANG MO KIO ST 32                        ";"29789.4100";"38533.0200";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A25  ";"BLK 330/337                             ";"ANG MO KIO AVE 8                        ";"30010.7500";"38310.2200";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A26  ";"BLK 113/114/118                         ";"ANG MO KIO AVE 4                        ";"28236.9300";"39419.4700";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A27  ";"BLK 108/109/110                         ";"ANG MO KIO ST 11                        ";"28556.6700";"39153.3000";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"7AM-10.30PM                                                 ";"SUN & PH FR 7AM-10.30PM                                     ";"NO                                                          ";"NO,,,,,"
"A28  ";"BLK 103/105/107                         ";"ANG MO KIO ST 11                        ";"28461.3669";"39295.5961";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A29  ";"BLK 347                                 ";"ANG MO KIO AVENUE 3                     ";"29713.7993";"38821.3801";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A30  ";"BLK 129/134                             ";"ANG MO KIO STREET 12                    ";"29012.7631";"39222.5981";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"WHOLE DAY                                                   ";"SUN & PH FR 7AM-10.30PM                                     ";"YES                                                         ";"NO,,,,,"
"A30A ";"BLK 133                                 ";"ANG MO KIO STREET 12                    ";"29050.5605";"39137.2773";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"7AM-10.30PM                                                 ";"SUN & PH FR 7AM-10.30PM                                     ";"NO                                                          ";"NO,,,,,"
"A31  ";"BLK 119/128                             ";"ANG MO KIO ST 12                        ";"29155.3200";"39163.0400";"SURFACE CAR PARK                                            ";"COUPON PARKING                                              ";"7AM-10.30PM                                                 ";"SUN & PH FR 7AM-10.30PM                                     ";"NO                                                          ";"NO,,,,,"
