"\"4729\"";"\"PAVILION PK\"";"\"24\"";"\"2401\"";"\"0\"";"\"75 PAVILION PL (658045)\"";"";"\"1\"";"\"1\"";"\"4\"";"\"-10\"";"\"19085\"";"\"39131\"";"\"1004728\"";"\"0\"";"";"";"\"103.753227\"";"\"1.370328\"";""
"\"4730\"";"\"SUNGEI KADUT IND ESTATE\"";"\"23\"";"\"2305\"";"\"0\"";"\"42A SUNGEI KADUT ST 1 (729347)\"";"";"\"1\"";"\"1\"";"\"1\"";"\"-10\"";"\"19085\"";"\"43749\"";"\"1004729\"";"\"1\"";"";"";"\"103.753227\"";"\"1.412112\"";""
"\"4731\"";"\"PAVILION PK\"";"\"24\"";"\"2401\"";"\"0\"";"\"229 PAVILION CIRCLE (658244)\"";"";"\"1\"";"\"1\"";"\"4\"";"\"-10\"";"\"19086\"";"\"38907\"";"\"1004730\"";"\"0\"";"";"";"\"103.753235\"";"\"1.368301\"";""
"\"4732\"";"\"PAVILION PK\"";"\"24\"";"\"2401\"";"\"0\"";"\"91 PAVILION CIRCLE (658533)\"";"";"\"1\"";"\"1\"";"\"4\"";"\"-10\"";"\"19087\"";"\"39369\"";"\"1004731\"";"\"0\"";"";"";"\"103.753242\"";"\"1.372481\"";""
"\"4733\"";"\"SUNGEI KADUT IND ESTATE\"";"\"23\"";"\"2305\"";"\"0\"";"\"40 SUNGEI KADUT ST 1 (729376)\"";"";"\"1\"";"\"1\"";"\"1\"";"\"-10\"";"\"19087\"";"\"43615\"";"\"1004732\"";"\"1\"";"";"";"\"103.753242\"";"\"1.410899\"";""
"\"4734\"";"\"PANDAN LIGHT INDUSTRIES PK (BLOCK 191)\"";"\"23\"";"\"2305\"";"\"0\"";"\"191 PANDAN LOOP (128380)\"";"";"\"1\"";"\"1\"";"\"4\"";"\"-10\"";"\"19088\"";"\"32725\"";"\"1004733\"";"\"1\"";"";"";"\"103.753258\"";"\"1.312365\"";""
"\"4735\"";"\"SUNGEI KADUT IND ESTATE\"";"\"23\"";"\"2305\"";"\"0\"";"\"38 SUNGEI KADUT ST 1 (729343)\"";"";"\"1\"";"\"1\"";"\"1\"";"\"-10\"";"\"19089\"";"\"43573\"";"\"1004734\"";"\"1\"";"";"";"\"103.753265\"";"\"1.410519\"";""
"\"4736\"";"\"BOTANNIA\"";"\"24\"";"\"2401\"";"\"0\"";"\"29A WEST COAST PK (127723)\"";"";"\"1\"";"\"1\"";"\"4\"";"\"-10\"";"\"19090\"";"\"33357\"";"\"1004735\"";"\"0\"";"";"";"\"103.753273\"";"\"1.318084\"";""
"\"4737\"";"\"BT GOMBAK STADIUM\"";"\"21\"";"\"2105\"";"\"0\"";"\"800 BT BATOK WEST AVE 5 (659081)\"";"";"\"1\"";"\"1\"";"\"4\"";"\"-10\"";"\"19090\"";"\"37780\"";"\"1004736\"";"\"1\"";"";"";"\"103.753273\"";"\"1.358104\"";""
"\"4738\"";"\"PAVILION PK\"";"\"24\"";"\"2401\"";"\"0\"";"\"93 PAVILION CIRCLE (658534)\"";"";"\"1\"";"\"1\"";"\"4\"";"\"-10\"";"\"19091\"";"\"39365\"";"\"1004737\"";"\"0\"";"";"";"\"103.753281\"";"\"1.372445\"";""
"\"4739\"";"\"PANDAN LIGHT INDUSTRIES PK (BLOCK 205A)\"";"\"23\"";"\"2305\"";"\"0\"";"\"205A PANDAN LOOP (128442)\"";"";"\"1\"";"\"1\"";"\"4\"";"\"-10\"";"\"19091\"";"\"32785\"";"\"1004738\"";"\"1\"";"";"";"\"103.753281\"";"\"1.312908\"";""
"\"4740\"";"\"PAVILION PK\"";"\"24\"";"\"2401\"";"\"0\"";"\"228 PAVILION CIRCLE (658243)\"";"";"\"1\"";"\"1\"";"\"4\"";"\"-10\"";"\"19094\"";"\"38909\"";"\"1004739\"";"\"0\"";"";"";"\"103.753311\"";"\"1.368319\"";""
